GRB	AngleFromZenith	MinutesSinceTrigger	Time1FOV	Time2FOV
GRB220129873	16.151360321176536	1327586910.4050531	1327576890.4050531	1327576890.4050531
GRB220211047	20.863079156471805	1328611968.8771906	1328602488.8771906	1328621508.8771906
GRB220321282	9.823113900555434	1331963662.0020676	1331880382.0020676	1331888002.0020676
GRB220407167	32.8455111536786	1333402182.151824	1333394862.151824	1333409562.151824
GRB220412713	19.127478191199547	1333895209.0406399	1333818409.0406399	1333818769.0406399
GRB220510147	30.89429777089772	1336257186.3507652	1336249386.3507652	1336264986.3507652
GRB220511571	1.2268218827584083	1336385936.870391	1336375196.870391	1336375196.870391
GRB220520876	5.6180114825820295	1337136277.7123518	1337125597.7123518	1337125597.7123518
GRB220528259	5.383917034202299	1337770247.4135265	1337759627.4135265	1337780927.4135265
GRB220610906	5.70181474957386	1338940536.930336	1338932676.930336	1339016076.930336
GRB220617772	3.577423706877047	1339542792.9024773	1339532112.9024773	1339553532.9024773
GRB220618761	40.80505171060389	1339613074.9625664	1339611334.9625664	1339694734.9625664
GRB220620016	39.59899855652744	1339797886.1013308	1339792786.1013308	1339792786.1013308
GRB220623649	31.056200350222625	1340073956.4315844	1340066156.4315844	1340066156.4315844
GRB220624316	33.73596789049823	1340092856.0528831	1340091296.0528831	1340171876.0528831
GRB220702569	12.608913883728219	1340835995.7390146	1340825675.7390146	1340825675.7390146
GRB220711279	14.933697220815905	1341596227.62815	1341586087.62815	1341586087.62815
GRB220728681	17.308931152703053	1343125419.3437471	1343115519.3437471	1343135379.3437471
GRB220729429	23.07428490709994	1343199931.510666	1343190691.510666	1343190691.510666
GRB220823145	16.537725664894598	1345298092.3855772	1345288072.3855772	1345288072.3855772
GRB220912963	12.025806283581355	1347103755.0664806	1347093435.0664806	1347114135.0664806
GRB221004622	38.84285682000602	1348982531.903222	1348977131.903222	1348977131.903222
GRB221014021	1.158533690159073	1349779366.2920923	1349768626.2920923	1349768626.2920923
GRB221022815	24.170052565762454	1350562593.5521154	1350553533.5521154	1350553533.5521154
GRB221025040	8.079884324259751	1350738498.4187717	1350727938.4187717	1350727938.4187717
GRB221120895	24.299625296807548	1353042927.8504448	1353033867.8504448	1353033867.8504448
GRB221127352	28.67955426258633	1353598930.5154562	1353590650.5154562	1353590650.5154562
